,name,exchange,symbol,year,Name,Market Cap,Sector,Industry,Country
0,AMEX_ATRS_2012.pdf,AMEX,ATRS,2012,Antares Pharma,596847424.0,NoInfo,NoInfo,United States
64,AMEX_ATRS_2013.pdf,AMEX,ATRS,2013,Antares Pharma,596847424.0,NoInfo,NoInfo,United States
135,AMEX_ATRS_2014.pdf,AMEX,ATRS,2014,Antares Pharma,596847424.0,NoInfo,NoInfo,United States
209,NASDAQ_AAIC_2020.pdf,NASDAQ,AAIC,2020,Arlington Asset Investment Corp Class A (new),136130160.0,Real Estate,Real Estate Investment Trusts,United States
309,NASDAQ_AAIC_2021.pdf,NASDAQ,AAIC,2021,Arlington Asset Investment Corp Class A (new),136130160.0,Real Estate,Real Estate Investment Trusts,United States
414,NASDAQ_AAIC_2022.pdf,NASDAQ,AAIC,2022,Arlington Asset Investment Corp Class A (new),136130160.0,Real Estate,Real Estate Investment Trusts,United States
513,NASDAQ_AAL_2019.pdf,NASDAQ,AAL,2019,American Airlines Group Inc. Common Stock,11385922000.0,Consumer Discretionary,Air Freight/Delivery Services,United States
702,NASDAQ_AAL_2020.pdf,NASDAQ,AAL,2020,American Airlines Group Inc. Common Stock,11385922000.0,Consumer Discretionary,Air Freight/Delivery Services,United States
937,NASDAQ_AAL_2021.pdf,NASDAQ,AAL,2021,American Airlines Group Inc. Common Stock,11385922000.0,Consumer Discretionary,Air Freight/Delivery Services,United States
1179,NASDAQ_AAL_2022.pdf,NASDAQ,AAL,2022,American Airlines Group Inc. Common Stock,11385922000.0,Consumer Discretionary,Air Freight/Delivery Services,United States
1391,NASDAQ_AAOI_2019.pdf,NASDAQ,AAOI,2019,Applied Optoelectronics Inc. Common Stock,237068922.0,Technology,Semiconductors,United States
1475,NASDAQ_AAOI_2020.pdf,NASDAQ,AAOI,2020,Applied Optoelectronics Inc. Common Stock,237068922.0,Technology,Semiconductors,United States
1553,NASDAQ_AAOI_2021.pdf,NASDAQ,AAOI,2021,Applied Optoelectronics Inc. Common Stock,237068922.0,Technology,Semiconductors,United States
1626,NASDAQ_AAOI_2022.pdf,NASDAQ,AAOI,2022,Applied Optoelectronics Inc. Common Stock,237068922.0,Technology,Semiconductors,United States
1697,NASDAQ_AAON_2019.pdf,NASDAQ,AAON,2019,AAON Inc. Common Stock,5553849923.0,Industrials,Industrial Machinery/Components,United States
1747,NASDAQ_AAON_2020.pdf,NASDAQ,AAON,2020,AAON Inc. Common Stock,5553849923.0,Industrials,Industrial Machinery/Components,United States
1797,NASDAQ_AAON_2021.pdf,NASDAQ,AAON,2021,AAON Inc. Common Stock,5553849923.0,Industrials,Industrial Machinery/Components,United States
1859,NASDAQ_AAON_2022.pdf,NASDAQ,AAON,2022,AAON Inc. Common Stock,5553849923.0,Industrials,Industrial Machinery/Components,United States
1918,NASDAQ_AAPL_2019.pdf,NASDAQ,AAPL,2019,Apple Inc. Common Stock,3037683831000.0,Technology,Computer Manufacturing,United States
1994,NASDAQ_AAPL_2020.pdf,NASDAQ,AAPL,2020,Apple Inc. Common Stock,3037683831000.0,Technology,Computer Manufacturing,United States
2073,NASDAQ_AAPL_2021.pdf,NASDAQ,AAPL,2021,Apple Inc. Common Stock,3037683831000.0,Technology,Computer Manufacturing,United States
2135,NASDAQ_AAPL_2022.pdf,NASDAQ,AAPL,2022,Apple Inc. Common Stock,3037683831000.0,Technology,Computer Manufacturing,United States
2196,NASDAQ_ABCB_2019.pdf,NASDAQ,ABCB,2019,Ameris Bancorp Common Stock,2758304674.0,Finance,Major Banks,United States
2321,NASDAQ_ABCB_2020.pdf,NASDAQ,ABCB,2020,Ameris Bancorp Common Stock,2758304674.0,Finance,Major Banks,United States
2430,NASDAQ_ABCB_2021.pdf,NASDAQ,ABCB,2021,Ameris Bancorp Common Stock,2758304674.0,Finance,Major Banks,United States
2462,NASDAQ_ABCB_2022.pdf,NASDAQ,ABCB,2022,Ameris Bancorp Common Stock,2758304674.0,Finance,Major Banks,United States
2554,NASDAQ_ABEO_2019.pdf,NASDAQ,ABEO,2019,Abeona Therapeutics Inc. Common Stock,70230393.0,Health Care,Biotechnology: Pharmaceutical Preparations,United States
2631,NASDAQ_ABEO_2020.pdf,NASDAQ,ABEO,2020,Abeona Therapeutics Inc. Common Stock,70230393.0,Health Care,Biotechnology: Pharmaceutical Preparations,United States
2716,NASDAQ_ABEO_2021.pdf,NASDAQ,ABEO,2021,Abeona Therapeutics Inc. Common Stock,70230393.0,Health Care,Biotechnology: Pharmaceutical Preparations,United States
2841,NASDAQ_ABEO_2022.pdf,NASDAQ,ABEO,2022,Abeona Therapeutics Inc. Common Stock,70230393.0,Health Care,Biotechnology: Pharmaceutical Preparations,United States
2941,NASDAQ_ABIO_2019.pdf,NASDAQ,ABIO,2019,ARCA biopharma Inc. Common Stock,29252584.0,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances,United States
3023,NASDAQ_ABIO_2020.pdf,NASDAQ,ABIO,2020,ARCA biopharma Inc. Common Stock,29252584.0,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances,United States
3111,NASDAQ_ABIO_2021.pdf,NASDAQ,ABIO,2021,ARCA biopharma Inc. Common Stock,29252584.0,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances,United States
3198,NASDAQ_ABIO_2022.pdf,NASDAQ,ABIO,2022,ARCA biopharma Inc. Common Stock,29252584.0,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances,United States
3280,NASDAQ_ABMD_2018.pdf,NASDAQ,ABMD,2018,Abiomed,17180649472.0,Health Care,NoInfo,United States
3367,NASDAQ_ABMD_2019.pdf,NASDAQ,ABMD,2019,Abiomed,17180649472.0,Health Care,NoInfo,United States
3443,NASDAQ_ABMD_2020.pdf,NASDAQ,ABMD,2020,Abiomed,17180649472.0,Health Care,NoInfo,United States
3528,NASDAQ_ABMD_2021.pdf,NASDAQ,ABMD,2021,Abiomed,17180649472.0,Health Care,NoInfo,United States
3613,NASDAQ_ABTX_2018.pdf,NASDAQ,ABTX,2018,Allegiance Bancshares,867373056.0,NoInfo,NoInfo,United States
3703,NASDAQ_ABTX_2019.pdf,NASDAQ,ABTX,2019,Allegiance Bancshares,867373056.0,NoInfo,NoInfo,United States
3797,NASDAQ_ABTX_2020.pdf,NASDAQ,ABTX,2020,Allegiance Bancshares,867373056.0,NoInfo,NoInfo,United States
3902,NASDAQ_ABUS_2017.pdf,NASDAQ,ABUS,2017,Arbutus Biopharma Corporation Common Stock,373800600.0,Health Care,Pharmaceuticals and Biotechnology,Canada
4036,NASDAQ_ABUS_2018.pdf,NASDAQ,ABUS,2018,Arbutus Biopharma Corporation Common Stock,373800600.0,Health Care,Pharmaceuticals and Biotechnology,Canada
4135,NASDAQ_ABUS_2019.pdf,NASDAQ,ABUS,2019,Arbutus Biopharma Corporation Common Stock,373800600.0,Health Care,Pharmaceuticals and Biotechnology,Canada
4213,NASDAQ_ABUS_2020.pdf,NASDAQ,ABUS,2020,Arbutus Biopharma Corporation Common Stock,373800600.0,Health Care,Pharmaceuticals and Biotechnology,Canada
4289,NASDAQ_ABUS_2021.pdf,NASDAQ,ABUS,2021,Arbutus Biopharma Corporation Common Stock,373800600.0,Health Care,Pharmaceuticals and Biotechnology,Canada
4428,NASDAQ_ACAD_2018.pdf,NASDAQ,ACAD,2018,ACADIA Pharmaceuticals Inc. Common Stock,5083670004.0,Health Care,Biotechnology: Pharmaceutical Preparations,United States
4512,NASDAQ_ACAD_2019.pdf,NASDAQ,ACAD,2019,ACADIA Pharmaceuticals Inc. Common Stock,5083670004.0,Health Care,Biotechnology: Pharmaceutical Preparations,United States
4599,NASDAQ_ACAD_2020.pdf,NASDAQ,ACAD,2020,ACADIA Pharmaceuticals Inc. Common Stock,5083670004.0,Health Care,Biotechnology: Pharmaceutical Preparations,United States
4695,NASDAQ_ACAD_2021.pdf,NASDAQ,ACAD,2021,ACADIA Pharmaceuticals Inc. Common Stock,5083670004.0,Health Care,Biotechnology: Pharmaceutical Preparations,United States
4794,NASDAQ_ACER_2019.pdf,NASDAQ,ACER,2019,Acer Therapeutics Inc. Common Stock (DE),21578465.0,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),United States
4927,NASDAQ_ACER_2020.pdf,NASDAQ,ACER,2020,Acer Therapeutics Inc. Common Stock (DE),21578465.0,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),United States
5050,NASDAQ_ACER_2021.pdf,NASDAQ,ACER,2021,Acer Therapeutics Inc. Common Stock (DE),21578465.0,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),United States
5178,NASDAQ_ACER_2022.pdf,NASDAQ,ACER,2022,Acer Therapeutics Inc. Common Stock (DE),21578465.0,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),United States
5323,NASDAQ_ACET_2015.pdf,NASDAQ,ACET,2015,Adicet Bio Inc. Common Stock ,127154455.0,Health Care,Biotechnology: Pharmaceutical Preparations,United States
